iter	Logloss
0	0.6815732278
1	0.6706396053
2	0.6606519191
3	0.6513973566
4	0.6414052406
5	0.632101429
6	0.622440318
7	0.6147617354
8	0.6066573868
9	0.5987843317
10	0.5909986785
11	0.5837513447
12	0.5768732545
13	0.5699625823
14	0.5629673897
15	0.556151891
16	0.550516709
17	0.5443537335
18	0.5384575421
19	0.5329038926
20	0.5280652005
21	0.5229831809
22	0.5182139199
23	0.5132052534
24	0.5082082543
25	0.50335836
26	0.4986588138
27	0.4947365296
28	0.4905206411
29	0.4865131531
30	0.4825567311
31	0.4787368574
32	0.4762686517
33	0.473066979
34	0.4703722751
35	0.467199246
36	0.4640066552
37	0.4611095935
38	0.4583652076
39	0.455692739
40	0.4529253924
41	0.4505856424
42	0.4480681354
43	0.445708963
44	0.4436720358
45	0.4417802745
46	0.43921429
47	0.4369033022
48	0.4347330199
49	0.4322677252
50	0.4301875509
51	0.4280995383
52	0.4260735134
53	0.4241428832
54	0.421970349
55	0.4203818908
56	0.4182167597
57	0.4169057643
58	0.4153131617
59	0.4137678298
60	0.4121169041
61	0.4106695766
62	0.409388283
63	0.4079181441
64	0.4068026722
65	0.4055356555
66	0.4046648191
67	0.4035203631
68	0.402231997
69	0.4009244385
70	0.3996789933
71	0.3986990535
72	0.3978002484
73	0.3968073078
74	0.3957323316
75	0.3946751794
76	0.3938727819
77	0.3929883058
78	0.3919228764
79	0.3907360645
80	0.3898572722
81	0.3889132887
82	0.3878960711
83	0.3868618615
84	0.3859530839
85	0.3849349656
86	0.3840184044
87	0.3834864883
88	0.3826898543
89	0.3816965668
90	0.3808857466
91	0.3801187946
92	0.3796331371
93	0.3789434959
94	0.3782240311
95	0.3774757046
96	0.3769212437
97	0.3763469137
98	0.3757088014
99	0.3751212874
100	0.3743400357
101	0.3736758778
102	0.3732392411
103	0.3726775503
104	0.3721837994
105	0.3716005874
106	0.3708919737
107	0.3703935009
108	0.3698912959
109	0.3692938488
110	0.368864816
111	0.3683799274
112	0.3680842146
113	0.3675987921
114	0.3672388498
115	0.366537063
116	0.36608153
117	0.3655197334
118	0.3650535804
119	0.3646271434
120	0.3640089975
121	0.363585374
122	0.3629730645
123	0.3624428815
124	0.3619485476
125	0.3615768143
126	0.3612824912
127	0.3608638518
128	0.3604403812
129	0.3600683638
130	0.3597500079
131	0.3593876492
132	0.3589535532
133	0.3585767051
134	0.3582450183
135	0.3577681878
136	0.3572514444
137	0.3568270951
138	0.3565105719
139	0.3562124806
140	0.3558699869
141	0.355505034
142	0.3553105365
143	0.3549467665
144	0.3545832543
145	0.3542787247
146	0.3539267451
147	0.3534125867
148	0.3531542814
149	0.3528348861
150	0.3524173256
151	0.3521055212
152	0.3516866467
153	0.3513155351
154	0.3511122055
155	0.3506274926
156	0.350355711
157	0.3499392722
158	0.3494416742
159	0.3492426198
160	0.3488949075
161	0.3485821911
162	0.3482965214
163	0.3478594409
164	0.3475313826
165	0.3471693066
166	0.3468398936
167	0.3464264501
168	0.3461363822
169	0.3457538938
170	0.3454908628
171	0.3450954954
172	0.3449302818
173	0.3445670763
174	0.3442957998
175	0.344056144
176	0.3438135458
177	0.3436344899
178	0.3431640025
179	0.3429925451
180	0.3428989843
181	0.3426765049
182	0.3424096658
183	0.3422169126
184	0.3417805645
185	0.341567521
186	0.3413334701
187	0.3410347371
188	0.3407726495
189	0.3404446566
190	0.3402523507
191	0.3400307346
192	0.3398810472
193	0.3395938217
194	0.3394224954
195	0.3391928761
196	0.3388619866
197	0.3385858359
198	0.3384417119
199	0.3382400165
200	0.3378966012
201	0.3377354417
202	0.3373812248
203	0.3371658592
204	0.3368421453
205	0.3365609589
206	0.336389251
207	0.3360783495
208	0.3358871068
209	0.3356996875
210	0.3353715927
211	0.3352051962
212	0.3348965559
213	0.3347164608
214	0.3343817431
215	0.3341871227
216	0.3339699669
217	0.3336568787
218	0.3334736457
219	0.3333343696
220	0.333122317
221	0.332944367
222	0.3326191201
223	0.3324563218
224	0.3323224324
225	0.3321848183
226	0.3319515395
227	0.3318135867
228	0.3315883297
229	0.3314614217
230	0.3313578488
231	0.3311757704
232	0.3309039729
233	0.3307029477
234	0.330535432
235	0.3302786001
236	0.330019526
237	0.329832591
238	0.3296609782
239	0.3295303631
240	0.3292767575
241	0.3291763648
242	0.3290930819
243	0.3288544331
244	0.3285527377
245	0.3284132827
246	0.3282118998
247	0.3280759444
248	0.3279048009
249	0.3276467913
250	0.3275267658
251	0.3273757634
252	0.327302273
253	0.3271356227
254	0.3269173791
255	0.326743309
256	0.3266372996
257	0.3264256788
258	0.3263242471
259	0.3260963896
260	0.325832751
261	0.3256822376
262	0.3255375656
263	0.3254546157
264	0.3253841226
265	0.3252122199
266	0.3250381473
267	0.3248490216
268	0.324658829
269	0.3245463738
270	0.3243698378
271	0.3242379249
272	0.3241154456
273	0.3239983274
274	0.3238976045
275	0.3238025028
276	0.3235895226
277	0.3234081357
278	0.3231288256
279	0.322735792
280	0.3225554147
281	0.322451703
282	0.322372169
283	0.3221925863
284	0.3220628394
285	0.3219568664
286	0.3217921961
287	0.3215943585
288	0.3214007184
289	0.3212399917
290	0.3210431742
291	0.3207720978
292	0.3207450875
293	0.3206402959
294	0.3205060463
295	0.3203382745
296	0.3202849783
297	0.3200130026
298	0.3198257247
299	0.3197006173
300	0.3195452748
301	0.319373834
302	0.3192527747
303	0.3190613619
304	0.3188809449
305	0.3187282064
306	0.3186155988
307	0.3184446425
308	0.3183480322
309	0.3181867473
310	0.3180695198
311	0.3178768988
312	0.3177904605
313	0.3175557151
314	0.3174785891
315	0.3173037698
316	0.317158572
317	0.3170675032
318	0.3169006646
319	0.3167990877
320	0.3166799281
321	0.3165605536
322	0.3164555108
323	0.3163804901
324	0.3162097768
325	0.3160272846
326	0.3159105264
327	0.3157435592
328	0.315581595
329	0.3154620538
330	0.3153810369
331	0.3151758835
332	0.315041557
333	0.3148608309
334	0.3147035775
335	0.3145277058
336	0.3144139559
337	0.3143053157
338	0.3141074628
339	0.3139494125
340	0.3138316613
341	0.313628685
342	0.3134939373
343	0.3134001187
344	0.3133050893
345	0.3132240114
346	0.3130510426
347	0.3128968909
348	0.3127725035
349	0.3126255549
350	0.3124607821
351	0.3123649419
352	0.3122121466
353	0.3120920814
354	0.3119266278
355	0.3117551068
356	0.3116149726
357	0.3114988183
358	0.3113205912
359	0.3111954209
360	0.3110350828
361	0.3109249244
362	0.3107875172
363	0.3105132278
364	0.3103050061
365	0.3101017732
366	0.3099280903
367	0.3097649326
368	0.3096662518
369	0.3094669811
370	0.3093055215
371	0.3090997566
372	0.3088398822
373	0.3087587468
374	0.3086548612
375	0.3084935482
376	0.3083440673
377	0.3081986733
378	0.3081381597
379	0.3080619703
380	0.3080002238
381	0.3078144145
382	0.3075943906
383	0.3074671961
384	0.3073758389
385	0.3072269797
386	0.3071136055
387	0.3070221157
388	0.3068700743
389	0.3067224266
390	0.3065501768
391	0.3063970406
392	0.3062952434
393	0.3062262753
394	0.3061223018
395	0.3059402897
396	0.3058439599
397	0.3057591095
398	0.3055951799
399	0.3054733671
400	0.3053077464
401	0.3051845132
402	0.3050744233
403	0.3049104252
404	0.304830954
405	0.3047220639
406	0.3045858431
407	0.304492594
408	0.3043800675
409	0.3042094412
410	0.3040981542
411	0.3040141168
412	0.3038423
413	0.3036875852
414	0.3035102882
415	0.3033743339
416	0.3032344025
417	0.3030819047
418	0.3029177235
419	0.3028161042
420	0.3026269812
421	0.302417748
422	0.3022425266
423	0.3021222169
424	0.302053733
425	0.301957178
426	0.3018197768
427	0.3017497294
428	0.3015850644
429	0.3014724055
430	0.3012440869
431	0.3011911278
432	0.3010192054
433	0.3009120382
434	0.3008483371
435	0.3006911823
436	0.3005463524
437	0.3003801499
438	0.3001869845
439	0.2999880601
440	0.2999140114
441	0.2998017803
442	0.2996878959
443	0.2995488268
444	0.2994455759
445	0.2992699381
446	0.2992412607
447	0.2991139948
448	0.2989797557
449	0.2987141813
450	0.2986162399
451	0.2985826463
452	0.2984492368
453	0.2982774601
454	0.2981430679
455	0.2980679151
456	0.2980496712
457	0.2979585206
458	0.2978610233
459	0.2977226965
460	0.2976416246
461	0.2975852949
462	0.2974363441
463	0.2972595066
464	0.2972160474
465	0.2970615394
466	0.2969180204
467	0.2968266774
468	0.2966943698
469	0.2965373377
470	0.2964501081
471	0.2963485386
472	0.2961896049
473	0.2959758046
474	0.2959121543
475	0.2956157566
476	0.295504124
477	0.295380931
478	0.2952619814
479	0.2950002726
480	0.2948803521
481	0.2947076866
482	0.2944971953
483	0.2944324594
484	0.2943142661
485	0.2941951059
486	0.2940988391
487	0.293960301
488	0.2939386008
489	0.2938361281
490	0.2937331104
491	0.2935325628
492	0.2933891672
493	0.2932437563
494	0.2931319501
495	0.2930705891
496	0.2929158517
497	0.2928248053
498	0.2927368755
499	0.292607085
500	0.2924658686
501	0.2923190546
502	0.2921858417
503	0.2920721961
504	0.2919680803
505	0.291905037
506	0.2917748178
507	0.2916520851
508	0.2914900677
509	0.2913976563
510	0.2913239562
511	0.2910816293
512	0.2908952562
513	0.2907142594
514	0.2905284678
515	0.2904510048
516	0.2902708801
517	0.290165413
518	0.2899997306
519	0.2899701253
520	0.2898659221
521	0.2896315731
522	0.2894809345
523	0.2894193265
524	0.2893230826
525	0.2892551261
526	0.2891066456
527	0.2889397266
528	0.2887280501
529	0.2886155812
530	0.2884863019
531	0.2882983883
532	0.2882278478
533	0.2881126432
534	0.2880480616
535	0.2879304057
536	0.2878708453
537	0.2878121506
538	0.2876895759
539	0.2876234395
540	0.2874312209
541	0.2873186059
542	0.2871771863
543	0.2870265416
544	0.2869090476
545	0.2867771194
546	0.286669113
547	0.2864830651
548	0.2864205223
549	0.2862803991
550	0.286180029
551	0.286086685
552	0.285994091
553	0.2859006007
554	0.2857851325
555	0.2856069332
556	0.2854509849
557	0.2852444766
558	0.2850590486
559	0.2849027775
560	0.2846911274
561	0.2846212815
562	0.2844666401
563	0.2843022449
564	0.2841749474
565	0.2840761561
566	0.2839557053
567	0.2837888114
568	0.2836564715
569	0.2835387909
570	0.2834427844
571	0.2833438531
572	0.2832489326
573	0.2831554161
574	0.2828812113
575	0.2828040909
576	0.2825747812
577	0.2824754359
578	0.2824223615
579	0.2821897218
580	0.2821163136
581	0.2821122235
582	0.2820232879
583	0.2818901453
584	0.2817814915
585	0.2816004023
586	0.2814476132
587	0.2812793452
588	0.2811517527
589	0.2810517402
590	0.2809498961
591	0.2808397146
592	0.2807374502
593	0.280616976
594	0.2805127845
595	0.2803589136
596	0.2801775728
597	0.2800996048
598	0.280064029
599	0.2799402056
600	0.2797589697
601	0.2796349438
602	0.2795056041
603	0.2793769041
604	0.2792322809
605	0.2790909204
606	0.2789372492
607	0.2787638604
608	0.2786483986
609	0.2785116715
610	0.278458518
611	0.2783740399
612	0.2783478323
613	0.2781706473
614	0.2780529348
615	0.2779892949
616	0.2777885178
617	0.2776562769
618	0.2775281359
619	0.2774059767
620	0.2772773779
621	0.2771462598
622	0.2770166282
623	0.2769144322
624	0.2768050156
625	0.276669173
626	0.2764780557
627	0.2763609583
628	0.2762393155
629	0.2761060844
630	0.2760117011
631	0.2759595278
632	0.2758214412
633	0.2756624639
634	0.2755396901
635	0.2754455939
636	0.2753405429
637	0.2752276994
638	0.2751550713
639	0.2750164287
640	0.2748432067
641	0.2747697467
642	0.2746285433
643	0.2745088599
644	0.2743987436
645	0.2743209967
646	0.2742303938
647	0.2741215666
648	0.2739807474
649	0.2738039222
650	0.2737091568
651	0.2736010384
652	0.2734402712
653	0.2732088334
654	0.2731046531
655	0.2730128064
656	0.2729504942
657	0.2728919543
658	0.2728097394
659	0.2726896481
660	0.2725450168
661	0.2724388251
662	0.2722358961
663	0.2721263274
664	0.2720220904
665	0.2718229301
666	0.2715804947
667	0.2714810006
668	0.2714307097
669	0.2712760537
670	0.2711705827
671	0.2710710361
672	0.2709634704
673	0.2708293707
674	0.2707769629
675	0.2707735774
676	0.2706389357
677	0.2704980597
678	0.2703804485
679	0.2702182641
680	0.2700913914
681	0.2700346584
682	0.2699214698
683	0.269799969
684	0.2695931727
685	0.2694177643
686	0.2692737156
687	0.2690612499
688	0.2690103592
689	0.2688694215
690	0.268829488
691	0.2687267693
692	0.2685931358
693	0.2685189059
694	0.2684693216
695	0.2682917633
696	0.2682605995
697	0.2681064554
698	0.2679258952
699	0.2679222229
700	0.2676250935
701	0.2674488761
702	0.2673515368
703	0.2673126849
704	0.267214287
705	0.2671607569
706	0.2671553826
707	0.2670400362
708	0.2669135882
709	0.2666205393
710	0.2663983182
711	0.2662678576
712	0.2661575991
713	0.2660640257
714	0.2659397667
715	0.2657933277
716	0.2657479299
717	0.265569452
718	0.265401232
719	0.2652628652
720	0.2651992379
721	0.2650916532
722	0.2649700098
723	0.2648103307
724	0.2647905149
725	0.2647339612
726	0.2647308586
727	0.2646394845
728	0.2645875266
729	0.2644066149
730	0.2642473486
731	0.2642423001
732	0.2641829051
733	0.2641770771
734	0.2640402694
735	0.2639376383
736	0.2638271688
737	0.2636635069
738	0.2635567483
739	0.2634445684
740	0.2632723947
741	0.2631426722
742	0.2628548333
743	0.2627067634
744	0.262694608
745	0.2626234353
746	0.2625171569
747	0.2623928596
748	0.262204389
749	0.2620802835
750	0.2619928684
751	0.261914247
752	0.2619093232
753	0.2618024789
754	0.2617848237
755	0.2617310368
756	0.2615369228
757	0.2614223972
758	0.2613350348
759	0.2612006424
760	0.261143996
761	0.2611255635
762	0.261075717
763	0.2609498725
764	0.2607799014
765	0.2606677454
766	0.2605462643
767	0.2604039276
768	0.2603126187
769	0.260102826
770	0.259911336
771	0.2597637352
772	0.2596417299
773	0.2595247485
774	0.2593515435
775	0.2591874828
776	0.2590414404
777	0.2588630201
778	0.2587760883
779	0.2586375706
780	0.258538665
781	0.2583722374
782	0.2582092008
783	0.2581046393
784	0.2580104714
785	0.2579251287
786	0.257875852
787	0.2577294234
788	0.2575555133
789	0.25742998
790	0.2572238742
791	0.2571021012
792	0.2569465703
793	0.256940928
